weight,1st,2nd
0.41,6272,3136
0.41,0,0
0.5543728,1461,72
0.5089179,4949,255
0.80348265,4950,256
0.93231744,5033,276
0.5584282,5034,277
0.57017606,1152,289
0.5699136,4936,305
0.5032498,5039,328
0.5360171,5006,368
0.5351656,3365,450
0.52059513,3977,455
0.56812906,5033,472
0.73023176,1267,563
0.55850685,5034,571
0.52683395,5076,585
0.557949,3199,605
0.53888583,5037,670
0.58646095,5038,671
0.5314783,4945,743
0.5158323,4993,760
0.577996,5017,765
0.6423366,1494,768
0.54877913,4961,849
0.7941405,3409,850
0.6738973,3433,855
0.6267108,3434,856
0.5449287,5004,857
0.6359949,5007,858
0.728534,3440,859
0.5185421,5015,862
0.622673,3453,865
0.6168384,4655,871
0.646623,4068,872
0.5031782,5046,1067
0.81506747,2987,1087
0.7438733,4935,1088
0.65931094,4950,1089
0.7008802,3409,1095
0.58529216,3410,1096
0.5158368,4980,1097
0.5635661,3434,1101
0.5520942,4993,1103
0.5183607,290,1104
0.70968795,3075,1110
0.5335267,1494,1111
0.6564608,3493,1116
0.51262933,3496,1118
0.63941634,2986,1136
0.60600775,247,1138
0.68047065,4168,1139
0.5278756,4960,1143
0.686398,4966,1146
0.5800929,4023,1150
0.59561336,5036,1160
0.5508729,5039,1161
0.64212155,5952,1191
0.51683605,5377,1197
0.76446587,5004,1200
0.73238444,5032,1207
0.54508364,6024,1213
0.5092628,4950,1236
0.53355277,3199,1242
0.5305156,5004,1249
0.64083034,5020,1257
0.6373269,1494,1258
0.94500595,2987,1283
0.9651386,2988,1284
0.55782443,4950,1285
0.5823401,4961,1290
0.6007396,4962,1291
0.519414,5985,1298
0.5319211,4993,1299
0.5817654,5031,1304
0.9108093,5033,1305
0.5462648,5034,1306
0.65267164,5036,1307
0.50085664,5038,1308
0.5366792,4070,1314
0.66273534,3365,1332
0.63651866,4935,1333
0.519097,3977,1337
0.64095265,2998,1338
0.74571407,4961,1339
1.0,4962,1340
0.6396449,4964,1341
0.72725177,4595,1345
0.674487,3420,1346
0.74343634,5004,1347
0.7976506,4993,1348
0.62874126,3440,1349
0.7941396,5017,1353
0.8720585,5019,1354
0.8020622,3453,1355
0.6240176,1494,1356
0.8631256,1321,1360
0.8374809,5046,1361
0.56633306,4068,1362
0.6070588,4070,1363
0.57551783,4970,1386
0.55750304,3409,1389
0.6370333,5377,1393
0.5715349,4010,1396
0.57281035,5007,1446
0.56071675,4959,1485
0.6099223,3424,1495
0.59079283,5031,1500
0.6296752,3496,1510
0.5009655,1745,1516
0.50122267,247,1628
0.532932,4966,1636
0.5861224,3365,1675
0.582749,4961,1682
0.65301335,5019,1697
0.7520562,5020,1698
0.5802454,3493,1704
0.5532152,3496,1706
0.70461524,5004,1739
0.55742484,4953,1776
0.6205879,4961,1780
0.66851646,4981,1783
0.51296425,4968,1784
0.60762686,4995,1790
0.6303875,4071,1804
0.6068989,5053,1805
0.54384923,3492,1851
0.5337271,3494,1852
0.7016214,3498,1854
0.5971799,4962,1928
0.6103611,3493,1998
0.63818175,3494,1999
0.511343,4974,2123
0.567613,3408,2124
0.50448716,4979,2125
0.58050525,4980,2126
0.70159084,1461,2130
0.9705693,4010,2131
0.5915113,4993,2132
0.7069576,290,2133
0.6445898,5036,2140
0.512416,5039,2141
0.5474633,3493,2145
0.5583132,3494,2146
0.5531712,3496,2147
0.70491666,3499,2148
0.7583279,5075,2152
0.7733864,5076,2153
0.6282647,4686,2154
0.74267626,1553,2155
0.88298684,4595,2276
0.53629714,3420,2277
0.54048795,4667,2291
0.5846353,3498,2295
0.57551986,3505,2298
0.54855233,3506,2299
0.552417,4583,2466
0.6357424,3498,2491
0.74395597,2988,2705
0.5225739,4938,2707
0.58128124,4973,2710
0.9077599,4583,2711
0.837453,3408,2712
0.5114911,3410,2713
0.5551345,4980,2714
0.7018823,3433,2717
0.8609421,1461,2718
0.65701294,4010,2719
0.5959387,5007,2720
0.6934259,290,2721
0.6492286,4049,2724
0.61662006,4036,2725
0.9076717,5033,2726
0.62384814,5034,2727
0.6969885,5036,2728
0.54645956,5042,2731
0.75098443,4667,2732
0.7765315,3492,2733
0.6954146,3494,2734
0.77656704,3496,2735
0.52668667,3499,2736
0.60159504,1152,2739
0.56847733,1745,2741
0.51224834,4686,2742
0.5545825,4996,2820
0.5752565,4069,2832
0.7087809,4070,2833
0.5605127,3499,2834
0.5031953,5076,2839
0.5526163,1553,2841
0.5286001,4921,2894
0.5703593,4935,2901
0.693089,4936,2902
0.59911966,4953,2903
0.52019525,4973,2906
0.7592698,4583,2907
0.7313586,3410,2909
0.87210596,4981,2910
0.5646651,4968,2911
0.5458526,3424,2916
0.83516115,5009,2917
0.52288353,5018,2922
0.8821998,3453,2923
0.88670474,1494,2924
0.59141463,320,2925
0.5524261,3493,2929
0.6929121,3495,2930
0.64499724,3497,2931
0.5482073,3498,2932
0.67774445,247,3000
0.50262046,5053,3030
0.60478735,3409,3055
0.56020725,3410,3056
0.55217505,1276,3060
0.5373729,4959,3102
0.5065926,5031,3117
0.6489242,5038,3121
