weight,fc,result
0.0011,1024,10
0.0011,0,0
0.012340566,0,2
0.02579247,5,2
0.01876742,6,2
0.05134108,11,2
0.065791875,16,2
0.017104087,32,2
0.010684395,33,2
0.02391277,35,2
0.02340162,38,2
0.005961642,41,2
0.05655681,42,2
0.010511385,47,2
0.0057649147,48,2
0.025242977,50,2
0.017191477,53,2
0.01692029,58,2
0.011497262,61,2
0.10259892,69,2
0.013560231,70,2
0.018012146,91,2
0.009137244,99,2
0.031777833,107,2
0.033311162,108,2
0.019427096,119,2
0.014650336,121,2
0.023266109,126,2
0.02791838,136,2
0.030555,150,2
0.020672383,151,2
0.010283361,153,2
0.013259775,161,2
0.006693231,163,2
0.10552386,172,2
0.012795262,173,2
0.005764572,180,2
0.030801114,192,2
0.06895307,198,2
0.023998022,200,2
0.02860046,203,2
0.01152626,204,2
0.0168612,209,2
0.025768735,221,2
0.019046105,225,2
0.02176082,240,2
0.06349906,245,2
0.007114796,250,2
0.030454049,257,2
0.06479945,283,2
0.014232321,287,2
0.019067645,291,2
0.015624347,294,2
0.054324955,296,2
0.034749363,302,2
0.035566226,311,2
0.019010313,314,2
0.028794162,315,2
0.05246571,316,2
0.058692563,325,2
0.027778147,326,2
0.09599281,330,2
0.023646591,331,2
0.05011692,336,2
0.02264359,337,2
0.04762696,342,2
0.006983385,343,2
0.06603454,359,2
0.031530283,364,2
0.020526664,367,2
0.015891887,370,2
0.020731146,373,2
0.025395336,410,2
0.01015347,414,2
0.0063033877,416,2
0.005802113,420,2
0.019918177,425,2
0.024381945,433,2
0.07540573,439,2
0.0067569935,440,2
0.051964853,443,2
0.012246498,444,2
0.045788866,446,2
0.016644305,452,2
0.06193888,453,2
0.008747394,455,2
0.03682514,460,2
0.009155677,463,2
0.08795224,473,2
0.0086827185,476,2
0.022294123,477,2
0.021330515,493,2
0.007838715,496,2
0.012636673,532,2
0.046943486,538,2
0.034205243,543,2
0.014012511,548,2
0.020244231,552,2
0.008296035,571,2
0.008323381,577,2
0.017750053,584,2
0.008600732,596,2
0.07542627,603,2
0.019889217,604,2
0.03480616,611,2
0.030220963,618,2
0.02108466,620,2
0.043508526,623,2
0.017210815,624,2
0.0067528356,627,2
0.011039497,632,2
0.018881526,641,2
0.017800078,653,2
0.00771235,657,2
0.0057899957,659,2
0.028984902,660,2
0.0067844354,663,2
0.011692573,673,2
0.013776539,677,2
0.0230761,685,2
0.007670291,700,2
0.00561662,704,2
0.011297006,706,2
0.009632939,711,2
0.043351576,712,2
0.049045663,713,2
0.01776772,718,2
0.026106002,721,2
0.013131817,731,2
0.042184997,733,2
0.05998023,737,2
0.022973327,740,2
0.029824885,756,2
0.022032062,764,2
0.035167806,768,2
0.11215123,769,2
0.009052379,770,2
0.054630265,785,2
0.012254177,787,2
0.042745277,789,2
0.008961223,791,2
0.05799923,794,2
0.028570171,798,2
0.0083089415,802,2
0.013578941,803,2
0.06931089,806,2
0.0058328602,810,2
0.024951033,826,2
0.07237224,836,2
0.009029043,854,2
0.06703274,866,2
0.015486529,873,2
0.007978678,884,2
0.029502627,894,2
0.010451012,896,2
0.059268646,898,2
0.022253767,905,2
0.01960967,909,2
0.02902786,919,2
0.10289255,925,2
0.079488546,928,2
0.006032993,929,2
0.010713735,932,2
0.0094835255,947,2
0.034900654,961,2
0.040175218,962,2
0.070370845,968,2
0.056116365,972,2
0.040131934,976,2
0.050112426,979,2
0.01647911,985,2
0.013462007,986,2
0.01470297,992,2
0.04268999,993,2
0.0071347374,995,2
0.014233076,997,2
0.029343285,999,2
0.011892417,1003,2
0.03378856,1007,2
0.057076484,1010,2
0.005892394,1015,2
0.006644389,1020,2
0.03405789,1021,2
0.016983578,1022,2
0.024157276,1023,2
